Lineage	Ploidy	Histone	dn	ds	dn_ds
Pg7	3	H2B	4.290590848683779e-06	0.00011796028502342588	0.03637318142993386
Pg7	3	H3	5.525338334922734e-06	2.9150730422738563e-05	0.18954373543287895
Pg7	3	H4	8.57432587703745e-06	4.527713600767443e-05	0.1893742986655364
Po72	4	H2A	1.0821547100048364e-06	1.4543867682295462e-05	0.07440625380016107
Po72	4	H2B	2.9514682114959742e-06	3.129556271176544e-05	0.0943094789085349
Po72	4	H3	1.2641686760905215e-06	1.638610165665249e-05	0.07714883640901189
Po72	4	H4	1.609218685991318e-06	1.3145760463096142e-05	0.12241351046284836
Po92	3	H2A	3.888894008364558e-06	9.904893105190456e-05	0.03926235212297913
Po92	3	H2B	2.736744768808037e-06	0.00024797085062542836	0.011036558377347419
Po92	3	H3	4.623955966888902e-06	3.5715557127285e-05	0.1294661581341095
Po92	3	H4	5.997476976320647e-06	7.002229824163485e-05	0.08565095872209721
Ri13	4	H2A	3.0811599829058443e-06	4.4365173469230845e-06	0.6944997037017698
Ri13	4	H2B	3.095120924255816e-06	8.442003524009987e-06	0.36663345560718513
Ri13	4	H3	3.0733922366462017e-06	1.840137113641457e-06	1.670197407498754
Ri13	4	H4	3.2664123624030347e-06	2.5132378482739457e-06	1.2996829427212224
Rr3	3	H2A	2.316645935508995e-06	2.5386539225203318e-06	0.9125489358585234
Rr3	3	H2B	2.363253480527563e-06	4.916538629558063e-06	0.48067424230530065
Rr3	3	H3	2.2394192099073246e-06	1.8107061286365619e-06	1.2367656874247055
Rr3	3	H4	2.411797379251428e-06	1.2113465827302681e-06	1.991005228095373
TP1	3	H2A	2.76002309794412e-06	1.0328796878884485e-05	0.26721632057519984
TP1	3	H2B	3.167062286036553e-06	2.0963039955142675e-05	0.15107838809702817
TP1	3	H3	2.649784243584485e-06	9.847620111038376e-06	0.26907864171306667
TP1	3	H4	3.1950980749839327e-06	4.247025865238006e-06	0.7523142491633676
Waik	3	H2A	2.3081360148155733e-06	0.000227746703749102	0.010134662661718872
Waik	3	H2B	5.50259511557622e-07	0.0011604058211276396	0.0004741957525022583
Waik	3	H3	2.0232422360188607e-06	0.00019154646950424596	0.010562670464537129
Waik	3	H4	1.2762704600988074e-05	3.525859543362094e-05	0.36197427730822646
Yellow2	2	H2A	6.685427461834219e-06	0.0004530709213489098	0.014755807858800483
Yellow2	2	H2B	2.2659123696272013e-06	0.0017656011648961986	0.0012833659235608947
Yellow2	2	H3	4.473867183108032e-06	0.0006288949374341348	0.00711385466284913
Yellow2	2	H4	2.0184847589664645e-05	0.00020349839438954374	0.09918922284480586
